demographic_dimensions,year_month,userAgeBracket,userGender,language,activeUsers,newUsers,sessions,engagedSessions,eventCount,userEngagementDuration,date_range_start,date_range_end
"userAgeBracket,userGender,language",202601,unknown,unknown,English,480,467,538,181,2330,16329,2026-01-01,yesterday
"userAgeBracket,userGender,language",202602,25-34,female,English,13,13,17,11,87,593,2026-01-01,yesterday
"userAgeBracket,userGender,language",202602,65+,female,English,16,14,27,24,232,1380,2026-01-01,yesterday
"userAgeBracket,userGender,language",202602,unknown,unknown,Chinese,60,59,61,4,211,133,2026-01-01,yesterday
"userAgeBracket,userGender,language",202602,unknown,unknown,English,578,568,658,203,3195,14980,2026-01-01,yesterday
"userAgeBracket,userGender,language",202603,25-34,female,English,15,15,19,9,106,761,2026-01-01,yesterday
"userAgeBracket,userGender,language",202603,35-44,female,English,10,10,12,7,76,311,2026-01-01,yesterday
"userAgeBracket,userGender,language",202603,45-54,female,English,14,13,16,12,100,550,2026-01-01,yesterday
"userAgeBracket,userGender,language",202603,55-64,female,English,10,9,14,8,73,419,2026-01-01,yesterday
"userAgeBracket,userGender,language",202603,65+,female,English,28,23,42,29,237,1290,2026-01-01,yesterday
"userAgeBracket,userGender,language",202603,unknown,female,English,10,9,24,14,160,1990,2026-01-01,yesterday
"userAgeBracket,userGender,language",202603,unknown,unknown,English,625,617,753,214,3253,18458,2026-01-01,yesterday
"userAgeBracket,userGender,language",202604,25-34,female,English,21,19,53,38,530,3571,2026-01-01,yesterday
"userAgeBracket,userGender,language",202604,35-44,female,English,12,12,13,11,114,947,2026-01-01,yesterday
"userAgeBracket,userGender,language",202604,55-64,female,English,12,11,15,13,111,645,2026-01-01,yesterday
"userAgeBracket,userGender,language",202604,65+,female,English,30,27,38,30,239,2608,2026-01-01,yesterday
"userAgeBracket,userGender,language",202604,unknown,female,English,21,19,31,21,182,2223,2026-01-01,yesterday
"userAgeBracket,userGender,language",202604,unknown,unknown,English,655,647,795,252,3510,18954,2026-01-01,yesterday
"userAgeBracket,userGender,language",202605,25-34,female,English,22,21,30,16,190,1078,2026-01-01,yesterday
"userAgeBracket,userGender,language",202605,55-64,female,English,13,11,26,13,159,1334,2026-01-01,yesterday
"userAgeBracket,userGender,language",202605,65+,female,English,21,20,30,17,163,1081,2026-01-01,yesterday
"userAgeBracket,userGender,language",202605,unknown,female,English,15,13,20,14,103,837,2026-01-01,yesterday
"userAgeBracket,userGender,language",202605,unknown,unknown,English,658,649,776,275,3407,16589,2026-01-01,yesterday
